"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","336","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","5073","0.0-1.0","4734","{""Q0"":""test""}","","","","","","","",""
"","","","","","instructions","2","163129","0.0-2.0","158069","","[{""page_index"":0,""viewing_time"":158066}]","","","","","","",""
"","","","","","instructions","3","180182","0.0-3.0-0.0","17052","","[{""page_index"":0,""viewing_time"":10363},{""page_index"":1,""viewing_time"":4037},{""page_index"":2,""viewing_time"":2652}]","","","","","","",""
"","","","","","KiN_response","4","214468","0.0-3.0-1.0","","Can I get a teddy bear?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","left","false",""
"","","","","","instructions","5","221832","0.0-3.0-2.0","7363","","[{""page_index"":0,""viewing_time"":7363}]","","","","","","",""
"","","","","","instructions","6","239374","0.0-4.0-0.0-0.0","17542","","[{""page_index"":0,""viewing_time"":12548},{""page_index"":1,""viewing_time"":3493},{""page_index"":2,""viewing_time"":1500}]","","","","","","",""
"","","","","","KiN_response","7","250622","0.0-4.0-0.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","8","271225","0.0-4.0-0.0-2.0","20604","","[{""page_index"":0,""viewing_time"":15901},{""page_index"":1,""viewing_time"":4703}]","","","","","","",""
"","","","","","instructions","9","346142","0.0-5.0","74920","","[{""page_index"":0,""viewing_time"":74920}]","","","","","","",""
"","","","","","instructions","10","348445","0.0-6.0-0.0","2301","","[{""page_index"":0,""viewing_time"":2301}]","","","","","","",""
"","","","","","instructions","11","403443","0.0-6.0-1.0","54999","","[{""page_index"":0,""viewing_time"":21486},{""page_index"":1,""viewing_time"":3867},{""page_index"":2,""viewing_time"":4012},{""page_index"":3,""viewing_time"":3411},{""page_index"":4,""viewing_time"":22222}]","","","","","","",""
"","","","","","survey-text","12","436250","0.0-6.0-2.0","32794","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","13","444391","0.0-6.0-3.0","8140","","[{""page_index"":0,""viewing_time"":8140}]","","","","","","",""
"","","","","","KiN_response","14","490467","0.0-6.0-4.0","","alot","","activity","big","none","[""alot"",""alittle""]","left","",""
"","","","","","instructions","15","501032","0.0-6.0-5.0","10564","","[{""page_index"":0,""viewing_time"":5777},{""page_index"":1,""viewing_time"":4787}]","","","","","","",""
"","","","","","KiN_response","16","548325","0.0-6.0-6.0","","If I clean my room, can I play five more round of games?","","activity","big","none","[""Can I play five more round of games?"",""If I clean my room, can I play five more round of games?""]","right","",""
"","","","","","html-button-response","17","562300","0.0-6.0-7.0","13971","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play five more round of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
"","","","","","instructions","18","564445","0.0-6.0-8.0","2143","","[{""page_index"":0,""viewing_time"":2143}]","","","","","","",""
